STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200101,0.00,0.0,14,-4
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200102,0.00,0.0,4,-5
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200103,0.00,0.0,14,-4
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200104,0.00,0.0,13,-8
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200105,0.00,0.0,26,2
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200106,0.07,0.5,30,24
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200107,0.12,1.5,31,22
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200108,0.00,0.0,25,11
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200109,0.00,0.0,22,5
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200110,0.00,0.0,30,5
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200111,0.00,0.0,30,12
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200112,0.00,0.0,41,6
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200113,0.00,0.0,37,19
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200114,0.00,0.0,25,17
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200115,0.10,0.5,25,16
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200116,0.00,0.0,26,21
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200117,0.00,0.0,24,4
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200118,0.06,1.5,13,4
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200119,0.00,0.0,18,11
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200120,0.00,0.0,22,12
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200121,0.00,0.0,18,-3
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200122,0.00,0.0,25,10
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200123,0.49,5.0,23,18
